year,북미,유럽,인도-중국,아시아,기타
2009,880.59,982.21,472.37,283.06,952.16
2010,1431.833333,1882.266667,730.15,413.3083333,1445.9
2011,1141.3,980.0166667,518.9,308.9583333,1030.716667
2012,1413.425,1444.633333,601.4083333,346.3833333,1224.433333
2013,1311.408333,1182.441667,559.8416667,329.1416667,987.9916667
2014,1349.941667,1254.733333,558.1333333,325.5916667,865.875
2015,1098.383333,705.0416667,454.8083333,267.4583333,486.575
2016,818.6,732.9583333,191.575,121.7416667,856
2017,978.3333333,950.5833333,367.4833333,218.7583333,1320.316667
2018,1123.425,899.8,373.9333333,227.725,990.4166667
2019,1003.925,824.1666667,340.125,202.2,999.075
2020,1536.825,1119.483333,553.2666667,308.825,1437.85
2021,3201.516667,6106.791667,2051.208333,1098.041667,4948.383333
2022,4024.57,6053.15,2204.15,1188.35,4695.9
